Vivado Simulator 2019.2
Time resolution is 1 ps
A=       175, B=        99, ALU_OP=0, ALU_OUT=       274, zero=0
A=        90, B=        14, ALU_OP=1, ALU_OUT=        76, zero=0
A=        69, B=        42, ALU_OP=1, ALU_OUT=        27, zero=0
A=       120, B=        27, ALU_OP=1, ALU_OUT=        93, zero=0
A=        92, B=         8, ALU_OP=0, ALU_OUT=       100, zero=0
A=       129, B=        66, ALU_OP=2, ALU_OUT=         0, zero=1
A=        26, B=         3, ALU_OP=2, ALU_OUT=         2, zero=0
A=       109, B=        68, ALU_OP=1, ALU_OUT=        41, zero=0
A=        71, B=        26, ALU_OP=0, ALU_OUT=        97, zero=0
A=        85, B=        20, ALU_OP=2, ALU_OUT=        20, zero=0
A=       124, B=        81, ALU_OP=3, ALU_OUT=   5308416, zero=0
A=        32, B=        17, ALU_OP=0, ALU_OUT=        49, zero=0
A=       143, B=        95, ALU_OP=3, ALU_OUT=   6225920, zero=0
A=        39, B=        22, ALU_OP=2, ALU_OUT=         6, zero=0
A=        79, B=        66, ALU_OP=2, ALU_OUT=        66, zero=0
A=        92, B=        53, ALU_OP=3, ALU_OUT=   3473408, zero=0
A=        61, B=         7, ALU_OP=0, ALU_OUT=        68, zero=0
A=       120, B=        61, ALU_OP=0, ALU_OUT=       181, zero=0
A=       100, B=        33, ALU_OP=2, ALU_OUT=        32, zero=0
A=       153, B=        73, ALU_OP=1, ALU_OUT=        80, zero=0
A=        66, B=         1, ALU_OP=0, ALU_OUT=        67, zero=0
A=       178, B=        87, ALU_OP=1, ALU_OUT=        91, zero=0
A=       125, B=        81, ALU_OP=2, ALU_OUT=        81, zero=0
A=       125, B=        45, ALU_OP=1, ALU_OUT=        80, zero=0
A=       103, B=        90, ALU_OP=2, ALU_OUT=        66, zero=0
A=        63, B=        53, ALU_OP=2, ALU_OUT=        53, zero=0
A=        59, B=        58, ALU_OP=3, ALU_OUT=   3801088, zero=0
A=        14, B=         8, ALU_OP=1, ALU_OUT=         6, zero=0
A=       110, B=        42, ALU_OP=2, ALU_OUT=        42, zero=0
A=       166, B=        89, ALU_OP=0, ALU_OUT=       255, zero=0
A=       170, B=        99, ALU_OP=1, ALU_OUT=        71, zero=0
A=       122, B=        61, ALU_OP=2, ALU_OUT=        56, zero=0
